"terminal","clase_vehiculo","nivel_servicio","municipio_origen_ruta","municipio_destino_ruta","fecha_despacho","hora_despacho","tipo_despacho","despachos","pasajeros"
"T.T. DE BUCARAMANGA","CAMIONETA","BASICO","68001","54518","2022-08-23T00:00:00.000","11","ORIGEN","1","0"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63690","2022-10-23T00:00:00.000","13","ORIGEN","1","4"
"T.T. DE POPAYÁN","MICROBUS","BASICO","19001","19130","2022-12-16T00:00:00.000","12","ORIGEN","1","0"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","76122","2022-11-28T00:00:00.000","15","ORIGEN","1","19"
"T.T. DE MELGAR","BUS","BASICO","11001","25001","2022-02-14T00:00:00.000","11","TRANSITO","2","0"
"T.T. DE TULÚA","BUSETA","BASICO","76834","76622","2022-08-26T00:00:00.000","13","ORIGEN","2","30"
"T.T. DE CALI","BUS","BASICO","76001","15518","2022-12-11T00:00:00.000","11","ORIGEN","1","8"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","05001","2022-11-18T00:00:00.000","06","ORIGEN","1","55"
"T.T. DE BOGOTÁ SUR","MICROBUS","LUJO","11001","25785","2022-12-16T00:00:00.000","14","TRANSITO","1","4"
"T.T. DE FUSAGASUGA","BUS","LUJO","25535","11001","2022-05-06T00:00:00.000","15","TRANSITO","1","0"
"T.T. DE FUSAGASUGA","BUS","LUJO","25535","11001","2022-05-06T00:00:00.000","15","TRANSITO","1","0"
"T.T. DE CALI","BUSETA","BASICO","76001","76520","2022-05-12T00:00:00.000","11","ORIGEN","1","12"
"T.T. DE TULÚA","MICROBUS","BASICO","76834","76001","2022-06-27T00:00:00.000","18","ORIGEN","1","18"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15176","2022-01-13T00:00:00.000","07","ORIGEN","1","4"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25740","2022-06-03T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25740","2022-06-03T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25740","2022-06-03T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25740","2022-06-03T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","25740","2022-06-03T00:00:00.000","16","ORIGEN","1","0"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05837","2022-12-21T00:00:00.000","20","ORIGEN","1","39"
"T.T. DE APARTADÓ","BUSETA","LUJO","05045","05837","2022-10-08T00:00:00.000","09","ORIGEN","2","8"
"T.T. DE MONTERÍA","BUS","LUJO","23001","70001","2022-02-11T00:00:00.000","08","ORIGEN","1","12"
"T.T. DE BOGOTÁ SALITRE","MICROBUS","LUJO","11001","25839","2022-12-16T00:00:00.000","13","ORIGEN","1","0"
"T.T. DE CALI","BUSETA","BASICO","76001","76834","2022-12-14T00:00:00.000","09","ORIGEN","1","3"
"T.T. DE SAN GIL","BUSETA","BASICO","68679","68001","2022-11-14T00:00:00.000","06","ORIGEN","1","12"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05664","2022-06-23T00:00:00.000","13","ORIGEN","1","8"
"T.T. DE MONTERÍA","BUS","LUJO","23001","05051","2022-12-25T00:00:00.000","11","ORIGEN","1","3"
"T.T. DE SANTA MARTA","BUS","LUJO","47001","47288","2022-11-04T00:00:00.000","16","ORIGEN","1","5"
"T.T. DE BUCARAMANGA","BUS","LUJO","76001","54001","2022-11-23T00:00:00.000","08","TRANSITO","1","1"
"T.T. DE PEREIRA","BUSETA","LUJO","76147","17001","2022-06-12T00:00:00.000","05","TRANSITO","1","2"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","76001","2022-06-30T00:00:00.000","21","TRANSITO","1","34"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-12-07T00:00:00.000","11","ORIGEN","1","5"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-06-01T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-06-01T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-06-01T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-06-01T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-06-01T00:00:00.000","16","ORIGEN","1","6"
"T.T. DE MEDELLÍN NORTE","BUS","BASICO","05001","05615","2022-07-03T00:00:00.000","05","ORIGEN","1","13"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63401","2022-10-13T00:00:00.000","06","ORIGEN","1","8"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63401","2022-10-13T00:00:00.000","06","ORIGEN","1","8"
"T.T. DE DUITAMA","MICROBUS","LUJO","15238","15759","2022-07-15T00:00:00.000","20","ORIGEN","1","5"
"T.T. DE HONDA","BUS","LUJO","05001","11001","2022-05-27T00:00:00.000","21","TRANSITO","1","11"
"T.T. DE TUNJA","MICROBUS","LUJO","15001","15176","2022-09-21T00:00:00.000","17","ORIGEN","1","3"
"T.T. DE SANTA MARTA","BUS","LUJO","08001","44430","2022-12-11T00:00:00.000","11","TRANSITO","1","8"
"T.T. DE NEIVA","MICROBUS","BASICO","41001","76001","2022-09-22T00:00:00.000","09","ORIGEN","1","18"
"T.T. DE FLORENCIA","MICROBUS","LUJO","18001","86568","2022-11-19T00:00:00.000","04","ORIGEN","1","11"
"T.T. DE ESPINAL","BUS","LUJO","41001","11001","2022-09-27T00:00:00.000","11","TRANSITO","1","5"
"T.T. DE ESPINAL","BUSETA","LUJO","11001","73504","2022-02-25T00:00:00.000","18","TRANSITO","1","0"
"T.T. DE CALI","MICROBUS","BASICO","76001","05120","2022-09-19T00:00:00.000","15","ORIGEN","1","6"
"T.T. DE BUGA","MICROBUS","LUJO","76111","76834","2022-03-14T00:00:00.000","14","ORIGEN","1","18"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","25307","2022-11-30T00:00:00.000","09","TRANSITO","1","5"
"T.T. DE MONTERÍA","CAMIONETA","LUJO","23001","70001","2022-05-27T00:00:00.000","11","ORIGEN","1","4"
"T.T. DE GIRARDOT","BUS","LUJO","41001","05001","2022-11-07T00:00:00.000","17","TRANSITO","1","22"
"T.T. DE PEREIRA","MICROBUS","LUJO","66001","66045","2022-03-03T00:00:00.000","17","ORIGEN","1","12"
"T.T. DE PEREIRA","MICROBUS","LUJO","66001","66400","2022-03-16T00:00:00.000","19","ORIGEN","1","13"
"T.T. DE ESPINAL","CAMIONETA","LUJO","73268","73001","2022-08-04T00:00:00.000","16","ORIGEN","1","7"
"T.T. DE ARMENIA","BUSETA","BASICO","63001","63401","2022-12-03T00:00:00.000","07","ORIGEN","1","7"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","76122","2022-07-29T00:00:00.000","15","ORIGEN","1","15"
"T.T. DE ESPINAL","AUTOMOVIL","LUJO","73268","73585","2022-03-04T00:00:00.000","09","ORIGEN","1","3"
"T.T. DE BOGOTÁ SUR","BUS","LUJO","11001","76001","2022-01-28T00:00:00.000","02","TRANSITO","1","2"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63401","2022-11-01T00:00:00.000","12","ORIGEN","1","15"
"T.T. DE BOGOTÁ SALITRE","BUS","LUJO","11001","68081","2022-12-21T00:00:00.000","21","ORIGEN","1","35"
"T.T. DE ARMENIA","MICROBUS","BASICO","63001","63272","2022-03-04T00:00:00.000","18","ORIGEN","1","6"
"T.T. DE OCAÑA","CAMIONETA","BASICO","54498","20011","2022-03-15T00:00:00.000","08","ORIGEN","1","8"
"T.T. DE PEREIRA","MICROBUS","LUJO","66001","63001","2022-07-31T00:00:00.000","14","ORIGEN","1","16"
"T.T. DE BOGOTÁ SUR","MICROBUS","LUJO","11001","25899","2022-11-07T00:00:00.000","07","TRANSITO","1","0"
